Frequency (Hz)	Level (dB)
0.672913	-91.223618
1.345825	-86.613358
2.018738	-84.425987
2.691650	-79.413879
3.364563	-73.574669
4.037476	-72.070442
4.710388	-68.752579
5.383301	-61.822193
6.056213	-60.433605
6.729126	-55.644741
7.402039	-53.699905
8.074951	-50.396523
8.747864	-43.927788
9.420776	-50.506073
10.093689	-58.927494
10.766602	-54.149696
11.439514	-56.602180
12.112427	-68.250816
12.785339	-58.311684
13.458252	-55.185955
14.131165	-63.927261
14.804077	-64.711464
15.476990	-57.445206
16.149902	-61.488136
16.822815	-65.722527
17.495728	-59.031750
18.168640	-62.226456
18.841553	-73.757080
19.514465	-64.380013
20.187378	-64.729568
20.860291	-67.896469
21.533203	-69.413231
22.206116	-65.152412
22.879028	-70.659973
23.551941	-74.288017
24.224854	-65.540466
24.897766	-69.803864
25.570679	-72.567856
26.243591	-69.013519
26.916504	-66.894859
27.589417	-65.804161
28.262329	-72.178535
28.935242	-68.921722
29.608154	-69.177536
30.281067	-75.140160
30.953979	-71.420151
31.626892	-74.249687
32.299805	-71.657234
32.972717	-69.550095
33.645630	-73.847809
34.318542	-72.564636
34.991455	-78.378899
35.664368	-75.094856
36.337280	-74.198074
37.010193	-75.156319
37.683105	-75.449776
38.356018	-70.082207
39.028931	-70.215111
39.701843	-75.568573
40.374756	-67.815544
41.047668	-66.083504
41.720581	-72.129860
42.393494	-78.202347
43.066406	-77.571770
43.739319	-75.915108
44.412231	-70.018112
45.085144	-64.441856
45.758057	-53.190304
46.430969	-52.630417
47.103882	-70.045242
47.776794	-73.662193
48.449707	-74.440590
49.122620	-74.086243
49.795532	-66.173248
50.468445	-70.559807
51.141357	-78.116631
51.814270	-76.752434
52.487183	-75.604637
53.160095	-75.467545
53.833008	-83.076721
54.505920	-78.537750
55.178833	-79.933853
55.851746	-77.621338
56.524658	-81.075218
57.197571	-79.449776
57.870483	-75.896332
58.543396	-78.871086
59.216309	-79.316803
59.889221	-78.186928
60.562134	-79.613503
61.235046	-77.867592
61.907959	-79.065430
62.580872	-80.135727
63.253784	-79.928841
63.926697	-77.795006
64.599609	-78.855232
65.272522	-79.059769
65.945435	-77.975182
66.618347	-80.667122
67.291260	-79.164238
67.964172	-78.550774
68.637085	-77.640968
69.309998	-77.312546
69.982910	-82.442215
70.655823	-84.481842
71.328735	-81.103279
72.001648	-83.060341
72.674561	-81.257660
73.347473	-78.812477
74.020386	-76.514908
74.693298	-75.694740
75.366211	-75.292145
76.039124	-76.737312
76.712036	-79.847633
77.384949	-80.919006
78.057861	-80.419113
78.730774	-82.071495
79.403687	-78.559608
80.076599	-77.761429
80.749512	-81.355865
81.422424	-79.977333
82.095337	-77.997520
82.768250	-78.314369
83.441162	-78.932594
84.114075	-82.988121
84.786987	-79.413246
85.459900	-79.593132
86.132813	-77.171120
86.805725	-77.393517
87.478638	-79.760300
88.151550	-78.251045
88.824463	-79.951828
89.497375	-78.354973
90.170288	-79.988777
90.843201	-79.942635
91.516113	-77.515480
92.189026	-74.259575
92.861938	-80.365578
93.534851	-79.714981
94.207764	-81.915565
94.880676	-80.641861
95.553589	-81.384895
96.226501	-80.347015
96.899414	-79.741676
97.572327	-81.297539
98.245239	-81.045212
98.918152	-80.148308
99.591064	-80.617172
100.263977	-80.515549
100.936890	-79.533119
101.609802	-79.692863
102.282715	-86.867638
102.955627	-84.221046
103.628540	-84.444031
104.301453	-81.968880
104.974365	-86.889687
105.647278	-81.416138
106.320190	-80.037483
106.993103	-82.247711
107.666016	-77.691544
108.338928	-82.750496
109.011841	-78.299377
109.684753	-78.980225
110.357666	-81.615829
111.030579	-78.752022
111.703491	-77.728889
112.376404	-80.256454
113.049316	-83.012085
113.722229	-81.901237
114.395142	-86.504639
115.068054	-81.442673
115.740967	-80.860268
116.413879	-80.749161
117.086792	-84.279610
117.759705	-84.980080
118.432617	-82.525940
119.105530	-80.471931
119.778442	-78.820488
120.451355	-79.797836
121.124268	-82.266899
121.797180	-83.149872
122.470093	-79.221138
123.143005	-84.776169
123.815918	-82.540565
124.488831	-81.328926
125.161743	-82.736954
125.834656	-80.295975
126.507568	-80.250298
127.180481	-83.548447
127.853394	-83.483559
128.526306	-82.345619
129.199219	-82.061119
129.872131	-80.672791
130.545044	-84.587646
131.217957	-83.402824
131.890869	-83.926689
132.563782	-82.321663
133.236694	-80.343544
133.909607	-81.644943
134.582520	-80.603607
135.255432	-80.745422
135.928345	-81.964043
136.601257	-83.069466
137.274170	-82.945480
137.947083	-77.650032
138.619995	-78.798370
139.292908	-82.782066
139.965820	-83.207298
140.638733	-83.715370
141.311646	-81.305351
141.984558	-79.701057
142.657471	-84.406677
143.330383	-81.761932
144.003296	-82.973564
144.676208	-81.826500
145.349121	-83.282028
146.022034	-87.127975
146.694946	-83.655159
147.367859	-87.349243
148.040771	-84.769089
148.713684	-78.174789
149.386597	-78.477936
150.059509	-76.876877
150.732422	-81.264496
151.405334	-83.008438
152.078247	-81.801804
152.751160	-83.753845
153.424072	-85.693504
154.096985	-87.007004
154.769897	-86.438919
155.442810	-87.780685
156.115723	-87.153236
156.788635	-87.195427
157.461548	-84.630127
158.134460	-84.920631
158.807373	-84.435791
