Frequency (Hz)	Level (dB)
0.672913	-90.087234
1.345825	-79.599625
2.018738	-77.438400
2.691650	-81.380295
3.364563	-77.172096
4.037476	-72.970467
4.710388	-71.024216
5.383301	-73.237022
6.056213	-68.230789
6.729126	-63.537319
7.402039	-70.138206
8.074951	-53.321499
8.747864	-49.899536
9.420776	-55.168106
10.093689	-56.895084
10.766602	-54.591877
11.439514	-54.247078
12.112427	-61.187447
12.785339	-60.659981
13.458252	-59.848793
14.131165	-68.762924
14.804077	-68.382759
15.476990	-60.053730
16.149902	-68.958855
16.822815	-73.012466
17.495728	-61.910286
18.168640	-64.408012
18.841553	-70.024132
19.514465	-67.683952
20.187378	-67.560982
20.860291	-75.903847
21.533203	-73.853783
22.206116	-72.066269
22.879028	-76.804100
23.551941	-72.807793
24.224854	-69.747925
24.897766	-71.490425
25.570679	-75.450493
26.243591	-70.558022
26.916504	-68.985641
27.589417	-72.521561
28.262329	-75.861511
28.935242	-70.205856
29.608154	-65.333122
30.281067	-70.424065
30.953979	-73.222176
31.626892	-84.026039
32.299805	-83.480690
32.972717	-77.593117
33.645630	-77.646942
34.318542	-73.089485
34.991455	-77.439331
35.664368	-75.248978
36.337280	-75.022995
37.010193	-73.511795
37.683105	-69.746239
38.356018	-66.450806
39.028931	-69.039001
39.701843	-68.671051
40.374756	-66.191429
41.047668	-69.176910
41.720581	-73.719727
42.393494	-73.238350
43.066406	-72.893883
43.739319	-76.021057
44.412231	-69.285736
45.085144	-63.378586
45.758057	-53.988037
46.430969	-53.522377
47.103882	-70.262428
47.776794	-74.619904
48.449707	-80.652412
49.122620	-74.888885
49.795532	-66.357811
50.468445	-69.710098
51.141357	-83.557755
51.814270	-80.226837
52.487183	-81.021576
53.160095	-84.336533
53.833008	-85.889397
54.505920	-81.794655
55.178833	-79.283081
55.851746	-80.733849
56.524658	-82.454872
57.197571	-81.640228
57.870483	-80.295761
58.543396	-81.067101
59.216309	-80.450562
59.889221	-80.357246
60.562134	-80.492317
61.235046	-79.944229
61.907959	-82.089828
62.580872	-80.047478
63.253784	-80.152977
63.926697	-84.454559
