Frequency (Hz)	Level (dB)
0.672913	-95.311584
1.345825	-91.075562
2.018738	-89.071457
2.691650	-86.071228
3.364563	-84.597771
4.037476	-77.868958
4.710388	-76.184677
5.383301	-76.894096
6.056213	-75.303871
6.729126	-71.267830
7.402039	-68.094551
8.074951	-60.949253
8.747864	-50.800972
9.420776	-55.407520
10.093689	-58.938019
10.766602	-57.013226
11.439514	-58.030800
12.112427	-62.069759
12.785339	-64.623680
13.458252	-64.059250
14.131165	-68.082642
14.804077	-70.729507
15.476990	-70.625389
16.149902	-71.608345
16.822815	-75.972183
17.495728	-75.263512
18.168640	-73.854576
18.841553	-74.151718
19.514465	-72.988113
20.187378	-76.881317
20.860291	-77.532867
21.533203	-75.734657
22.206116	-74.160530
22.879028	-77.851044
23.551941	-78.042923
24.224854	-71.680565
24.897766	-76.030273
25.570679	-75.588921
26.243591	-72.347397
26.916504	-71.631584
27.589417	-67.571266
28.262329	-74.652878
28.935242	-74.445732
29.608154	-73.491600
30.281067	-76.091103
30.953979	-75.056564
31.626892	-79.414848
32.299805	-75.056244
32.972717	-77.550186
33.645630	-72.511490
34.318542	-78.584259
34.991455	-75.758469
35.664368	-78.715042
36.337280	-73.631943
37.010193	-73.804451
37.683105	-77.279030
38.356018	-76.049774
39.028931	-72.539131
39.701843	-69.840843
40.374756	-68.847351
41.047668	-69.575699
41.720581	-72.928070
42.393494	-72.224907
43.066406	-74.089714
43.739319	-77.108749
44.412231	-72.590233
45.085144	-64.342941
45.758057	-54.909729
46.430969	-56.759392
47.103882	-69.419449
47.776794	-79.046761
48.449707	-76.288658
49.122620	-71.775604
49.795532	-66.322098
50.468445	-69.254890
51.141357	-83.398529
51.814270	-76.591850
52.487183	-77.626488
53.160095	-78.101013
53.833008	-74.324242
54.505920	-74.894920
55.178833	-79.019196
55.851746	-84.547821
56.524658	-79.957108
57.197571	-82.313934
57.870483	-78.183418
58.543396	-80.150192
59.216309	-86.707130
59.889221	-84.127274
60.562134	-83.182854
61.235046	-73.569069
61.907959	-77.060867
62.580872	-81.398483
63.253784	-81.436790
63.926697	-84.741203
64.599609	-79.510139
65.272522	-77.527840
65.945435	-79.642303
66.618347	-78.599083
67.291260	-79.216179
67.964172	-81.768898
68.637085	-82.629562
69.309998	-78.597473
69.982910	-79.153076
70.655823	-80.954865
71.328735	-79.563545
72.001648	-80.373924
72.674561	-78.915054
73.347473	-77.586220
74.020386	-78.896828
74.693298	-80.313232
75.366211	-81.568092
76.039124	-76.903282
76.712036	-80.999710
77.384949	-82.495049
78.057861	-81.013336
78.730774	-80.674660
79.403687	-77.006508
80.076599	-78.839561
80.749512	-81.038559
81.422424	-75.648132
82.095337	-77.771210
82.768250	-83.983955
83.441162	-84.678459
84.114075	-82.817696
84.786987	-79.549576
85.459900	-75.370384
86.132813	-79.871033
86.805725	-78.945694
87.478638	-81.604843
88.151550	-79.405273
88.824463	-80.685913
