Frequency (Hz)	Level (dB)
0.672913	-94.966835
1.345825	-83.107246
2.018738	-80.676346
2.691650	-84.089439
3.364563	-77.959923
4.037476	-72.162704
4.710388	-72.872986
5.383301	-69.994499
6.056213	-64.589600
6.729126	-59.141968
7.402039	-64.680214
8.074951	-61.786148
8.747864	-57.464382
9.420776	-60.931385
10.093689	-57.057442
10.766602	-60.181473
11.439514	-58.601707
12.112427	-64.792984
12.785339	-61.810890
13.458252	-63.083420
14.131165	-69.576370
14.804077	-66.595604
15.476990	-61.470787
16.149902	-67.058929
16.822815	-69.263786
17.495728	-63.420486
18.168640	-65.845093
18.841553	-71.753059
19.514465	-70.008636
20.187378	-71.320221
20.860291	-75.553215
21.533203	-74.513573
22.206116	-72.283173
22.879028	-73.572029
23.551941	-72.629646
24.224854	-74.823814
24.897766	-76.328011
25.570679	-77.283142
26.243591	-75.263634
26.916504	-76.124886
27.589417	-80.418892
28.262329	-76.792816
28.935242	-73.859886
29.608154	-74.962265
30.281067	-77.065353
30.953979	-77.306374
31.626892	-77.084335
32.299805	-80.052940
32.972717	-81.897072
33.645630	-80.169548
34.318542	-77.946747
34.991455	-77.761688
35.664368	-80.458138
36.337280	-80.260719
37.010193	-77.714340
37.683105	-77.993752
38.356018	-76.677254
39.028931	-78.505127
39.701843	-72.443069
40.374756	-70.118149
41.047668	-68.119476
41.720581	-81.541489
42.393494	-75.800674
43.066406	-79.351524
43.739319	-77.970284
44.412231	-75.714058
45.085144	-75.833336
45.758057	-64.053276
46.430969	-64.616150
47.103882	-74.343277
47.776794	-80.962791
48.449707	-78.899971
49.122620	-79.538849
49.795532	-64.913795
50.468445	-68.039314
51.141357	-81.811493
51.814270	-81.466141
52.487183	-83.012352
53.160095	-83.391808
53.833008	-84.621300
54.505920	-80.480576
55.178833	-79.454178
55.851746	-81.876274
56.524658	-80.073906
57.197571	-80.765671
57.870483	-88.265923
58.543396	-84.100708
59.216309	-83.299271
59.889221	-81.049316
60.562134	-76.978317
61.235046	-71.356277
61.907959	-80.088074
62.580872	-80.974953
63.253784	-81.292564
63.926697	-80.254280
64.599609	-83.461304
65.272522	-79.892487
65.945435	-79.850105
66.618347	-80.023506
67.291260	-83.224579
67.964172	-83.133476
68.637085	-82.857597
69.309998	-78.859703
69.982910	-80.778236
70.655823	-85.384529
71.328735	-82.663750
72.001648	-80.059387
72.674561	-79.762627
73.347473	-79.920624
74.020386	-86.113167
74.693298	-84.310501
75.366211	-84.332848
76.039124	-85.716537
76.712036	-87.712730
77.384949	-87.503464
78.057861	-84.341431
78.730774	-85.063118
79.403687	-87.327896
80.076599	-85.886917
80.749512	-83.181557
81.422424	-79.086823
82.095337	-80.040497
82.768250	-84.392410
83.441162	-81.471642
84.114075	-78.003830
84.786987	-79.451981
85.459900	-79.156647
86.132813	-80.028152
86.805725	-76.900871
87.478638	-78.636215
88.151550	-83.483292
88.824463	-84.383904
89.497375	-81.719131
90.170288	-82.667671
90.843201	-83.154686
91.516113	-77.042564
92.189026	-70.828804
92.861938	-80.307220
93.534851	-82.866653
94.207764	-82.064781
94.880676	-86.118698
95.553589	-88.680481
96.226501	-85.568382
96.899414	-85.005196
97.572327	-89.397346
98.245239	-87.487053
98.918152	-81.729790
99.591064	-77.367714
100.263977	-80.144394
100.936890	-81.640137
