Frequency (Hz)	Level (dB)
0.672913	-90.774124
1.345825	-90.572350
2.018738	-86.078156
2.691650	-82.696098
3.364563	-77.775085
4.037476	-70.411133
4.710388	-67.811798
5.383301	-65.906845
6.056213	-66.251137
6.729126	-64.511635
7.402039	-60.759953
8.074951	-56.789474
8.747864	-51.957836
9.420776	-56.969372
10.093689	-60.560539
10.766602	-57.850471
11.439514	-59.847004
12.112427	-64.800285
12.785339	-61.983200
13.458252	-63.443214
14.131165	-68.179665
14.804077	-70.452538
15.476990	-66.918556
16.149902	-68.002258
16.822815	-69.524223
17.495728	-67.519569
18.168640	-68.736511
18.841553	-70.447090
19.514465	-69.635223
20.187378	-74.411018
20.860291	-74.248810
21.533203	-75.075249
22.206116	-75.146507
22.879028	-76.051361
23.551941	-76.089783
24.224854	-72.330933
24.897766	-74.851097
25.570679	-73.267410
26.243591	-74.000359
26.916504	-71.774170
27.589417	-71.864929
28.262329	-78.829636
28.935242	-81.720406
29.608154	-77.006691
30.281067	-74.613182
30.953979	-75.845535
31.626892	-76.288612
32.299805	-77.562729
32.972717	-77.752083
33.645630	-77.399162
34.318542	-75.995155
34.991455	-82.014626
35.664368	-76.813675
36.337280	-78.952492
37.010193	-75.043571
37.683105	-71.605064
38.356018	-64.768364
39.028931	-65.439316
39.701843	-65.361435
40.374756	-62.631340
41.047668	-65.740860
41.720581	-65.862602
42.393494	-62.544590
43.066406	-64.589622
43.739319	-71.379791
44.412231	-72.289658
45.085144	-74.119881
45.758057	-65.979416
46.430969	-66.767616
47.103882	-75.907936
47.776794	-76.821526
48.449707	-73.937546
49.122620	-76.503906
49.795532	-63.863655
50.468445	-67.950096
51.141357	-76.629272
51.814270	-70.729828
52.487183	-70.157776
53.160095	-73.396866
53.833008	-78.420036
54.505920	-76.545578
55.178833	-75.504845
55.851746	-71.451469
56.524658	-72.586685
57.197571	-73.774063
57.870483	-69.664894
58.543396	-70.108284
59.216309	-70.307541
59.889221	-68.068565
60.562134	-71.940201
61.235046	-67.609932
61.907959	-74.086845
62.580872	-77.158409
63.253784	-84.470680
63.926697	-85.870918
64.599609	-75.443001
65.272522	-75.810745
65.945435	-80.223221
66.618347	-84.710060
67.291260	-79.780365
67.964172	-76.736671
68.637085	-73.990623
69.309998	-75.145393
69.982910	-81.248550
70.655823	-84.407242
71.328735	-80.618355
72.001648	-79.938614
72.674561	-76.266136
73.347473	-78.232719
74.020386	-86.336723
74.693298	-82.427071
75.366211	-79.994644
76.039124	-76.598518
76.712036	-78.593468
77.384949	-78.489655
78.057861	-77.730141
78.730774	-84.334984
79.403687	-78.201370
80.076599	-81.437820
80.749512	-82.871124
81.422424	-78.247086
82.095337	-77.318222
82.768250	-77.478188
83.441162	-79.265831
84.114075	-74.398964
84.786987	-74.886551
85.459900	-76.642731
86.132813	-74.106430
86.805725	-74.816704
87.478638	-76.040565
88.151550	-77.284912
88.824463	-77.896698
89.497375	-80.667839
90.170288	-80.774345
90.843201	-82.297272
91.516113	-78.386040
92.189026	-71.339577
92.861938	-77.621590
93.534851	-84.167976
94.207764	-84.064003
94.880676	-80.637329
95.553589	-82.795265
96.226501	-82.361923
96.899414	-79.601181
97.572327	-81.581322
98.245239	-85.641167
98.918152	-78.333412
99.591064	-76.019531
100.263977	-79.121437
100.936890	-81.804016
101.609802	-83.440598
102.282715	-83.957283
102.955627	-84.529495
103.628540	-85.797371
104.301453	-84.891556
104.974365	-84.257996
105.647278	-83.349571
106.320190	-87.135506
106.993103	-85.677116
107.666016	-83.168396
108.338928	-81.419296
109.011841	-82.375854
109.684753	-82.120590
110.357666	-87.174507
111.030579	-84.849075
111.703491	-85.013390
112.376404	-86.277405
113.049316	-88.041000
113.722229	-85.314720
114.395142	-84.345444
115.068054	-86.792503
115.740967	-86.471024
116.413879	-84.475891
117.086792	-86.696136
117.759705	-82.911713
118.432617	-87.107155
119.105530	-84.237694
119.778442	-86.940186
120.451355	-84.100647
121.124268	-84.258163
121.797180	-87.136032
122.470093	-89.313499
123.143005	-86.393555
123.815918	-82.754013
124.488831	-85.504974
125.161743	-88.712166
125.834656	-84.135406
126.507568	-88.810616
127.180481	-87.660393
127.853394	-84.998268
128.526306	-87.309753
129.199219	-86.075096
129.872131	-88.410210
130.545044	-88.009850
131.217957	-84.647141
131.890869	-89.175186
132.563782	-89.311485
133.236694	-85.431595
133.909607	-84.981400
134.582520	-83.836693
135.255432	-86.016373
135.928345	-84.047279
136.601257	-89.172455
137.274170	-89.748650
137.947083	-88.463394
138.619995	-87.319557
139.292908	-86.963455
139.965820	-85.262817
140.638733	-86.309464
141.311646	-90.166290
141.984558	-88.376236
142.657471	-86.743668
143.330383	-88.606331
144.003296	-89.533058
144.676208	-92.365440
145.349121	-87.297508
146.022034	-85.483368
146.694946	-85.270821
147.367859	-88.689117
148.040771	-89.209999
148.713684	-82.291039
149.386597	-78.412346
150.059509	-75.557465
150.732422	-83.095963
151.405334	-85.175652
152.078247	-87.739021
152.751160	-88.684120
153.424072	-86.391884
154.096985	-91.994179
154.769897	-88.419914
155.442810	-86.519379
156.115723	-88.945335
156.788635	-87.311707
157.461548	-84.468727
158.134460	-88.094337
158.807373	-85.880676
159.480286	-88.916382
160.153198	-87.914162
160.826111	-86.354439
161.499023	-86.868248
162.171936	-85.295853
162.844849	-89.635101
163.517761	-85.461441
164.190674	-88.778992
164.863586	-90.051598
165.536499	-86.863998
166.209412	-89.031090
166.882324	-89.939041
167.555237	-87.902863
168.228149	-86.444283
168.901062	-83.339897
169.573975	-87.450348
170.246887	-90.074051
170.919800	-86.909073
171.592712	-88.031601
172.265625	-89.943893
172.938538	-87.253464
173.611450	-92.895058
174.284363	-89.018074
174.957275	-86.289413
175.630188	-84.499855
176.303101	-90.226479
176.976013	-86.580376
177.648926	-87.380653
178.321838	-92.587059
178.994751	-91.461693
179.667664	-89.575417
180.340576	-90.732330
181.013489	-87.359184
181.686401	-85.586197
182.359314	-87.193672
183.032227	-89.085045
183.705139	-85.472916
184.378052	-84.954529
185.050964	-83.345795
185.723877	-86.891190
186.396790	-90.676193
187.069702	-94.528687
187.742615	-90.159119
188.415527	-87.753059
189.088440	-89.135307
189.761353	-91.329727
190.434265	-89.649185
191.107178	-88.128433
191.780090	-86.961296
192.453003	-85.671364
193.125916	-95.632149
193.798828	-88.406853
194.471741	-86.071907
195.144653	-86.647209
195.817566	-86.945778
196.490479	-90.104683
197.163391	-91.521790
197.836304	-90.567795
198.509216	-89.094032
199.182129	-86.995316
199.855042	-90.916740
200.527954	-87.096390
201.200867	-85.558372
201.873779	-85.316170
202.546692	-85.412560
203.219604	-87.391167
203.892517	-91.103287
204.565430	-89.168266
205.238342	-83.831604
205.911255	-87.027374
206.584167	-88.844467
207.257080	-88.719261
207.929993	-87.172081
208.602905	-89.129921
209.275818	-84.031342
209.948730	-82.527046
210.621643	-87.264977
211.294556	-85.166534
211.967468	-85.968819
212.640381	-88.207809
213.313293	-87.358177
213.986206	-87.307434
214.659119	-85.585243
215.332031	-84.987541
216.004944	-86.141846
216.677856	-87.637154
217.350769	-90.298592
218.023682	-91.277077
218.696594	-89.283707
219.369507	-91.590897
220.042419	-91.553658
220.715332	-90.368782
221.388245	-84.499397
222.061157	-84.207878
222.734070	-90.256424
223.406982	-89.779427
224.079895	-90.462738
224.752808	-93.345512
225.425720	-94.617233
226.098633	-91.012314
226.771545	-91.861824
227.444458	-88.110802
228.117371	-92.969063
228.790283	-87.319328
229.463196	-85.666901
230.136108	-87.145744
230.809021	-89.962349
231.481934	-88.781731
232.154846	-89.981018
232.827759	-89.539818
233.500671	-96.274086
234.173584	-92.858902
234.846497	-88.173973
235.519409	-90.569733
236.192322	-89.382721
236.865234	-88.447212
237.538147	-91.626732
238.211060	-90.868469
238.883972	-89.808266
239.556885	-89.642838
240.229797	-85.535805
240.902710	-84.874382
241.575623	-88.666473
242.248535	-89.785057
242.921448	-91.407082
243.594360	-89.127716
244.267273	-93.009033
244.940186	-87.149094
245.613098	-92.967567
246.286011	-90.492325
246.958923	-88.089745
247.631836	-87.558701
248.304749	-91.139519
248.977661	-85.688461
249.650574	-84.203857
250.323486	-83.555016
250.996399	-84.446739
251.669312	-86.255661
252.342224	-84.103157
253.015137	-86.220177
253.688049	-82.774460
254.360962	-77.800560
255.033875	-75.982155
255.706787	-73.927704
256.379700	-73.667648
257.052612	-82.068596
257.725525	-83.965744
258.398438	-78.886642
259.071350	-82.779625
259.744263	-79.041618
260.417175	-77.066566
261.090088	-74.806557
261.763000	-79.559082
262.435913	-75.434128
263.108826	-74.749283
263.781738	-79.559242
264.454651	-86.322510
265.127563	-81.190407
265.800476	-86.044250
266.473389	-85.637405
267.146301	-81.803139
267.819214	-80.699348
268.492126	-82.752167
269.165039	-83.249420
269.837952	-84.050568
270.510864	-79.403069
271.183777	-80.023201
271.856689	-75.326866
272.529602	-80.306648
273.202515	-82.669212
273.875427	-83.323723
274.548340	-78.510681
275.221252	-82.240776
275.894165	-80.449654
276.567078	-82.295441
277.239990	-79.668884
277.912903	-84.095268
278.585815	-77.386307
279.258728	-80.075394
279.931641	-79.253807
280.604553	-77.082306
281.277466	-74.854874
281.950378	-78.381691
282.623291	-72.779022
283.296204	-73.830330
283.969116	-70.579155
284.642029	-72.205681
285.314941	-70.885216
285.987854	-70.951942
286.660767	-68.740013
287.333679	-66.410767
288.006592	-64.396751
288.679504	-63.080894
289.352417	-61.611935
290.025330	-56.749599
290.698242	-56.956547
291.371155	-58.426414
292.044067	-48.457893
292.716980	-49.137081
293.389893	-53.294090
294.062805	-56.351116
294.735718	-55.200321
295.408630	-53.540634
296.081543	-47.528008
296.754456	-48.920761
297.427368	-45.098289
298.100281	-42.259010
298.773193	-32.904598
299.446106	-22.182600
300.119019	-10.454579
300.791931	-3.517518
301.464844	-4.684338
302.137756	-13.707347
302.810669	-24.233444
303.483582	-31.451437
304.156494	-39.925037
304.829407	-45.647594
305.502319	-44.410042
306.175232	-52.768520
306.848145	-51.538250
307.521057	-57.057827
308.193970	-53.012527
308.866882	-52.121323
309.539795	-49.383514
310.212708	-50.889359
310.885620	-54.159332
311.558533	-56.149372
312.231445	-56.059093
312.904358	-58.556976
313.577271	-63.055325
314.250183	-61.523323
314.923096	-68.261703
315.596008	-69.657135
316.268921	-67.640953
316.941833	-71.629250
317.614746	-74.307899
318.287659	-71.521179
318.960571	-72.073509
319.633484	-75.095200
320.306396	-73.009781
