Frequency (Hz)	Level (dB)
0.672913	-90.479439
1.345825	-90.224876
2.018738	-81.723732
2.691650	-79.945015
3.364563	-72.669518
4.037476	-68.408951
4.710388	-68.940666
5.383301	-61.271996
6.056213	-58.246948
6.729126	-53.504063
7.402039	-51.258289
8.074951	-51.393005
8.747864	-46.996540
9.420776	-51.923206
10.093689	-58.805683
10.766602	-55.722618
11.439514	-56.927448
12.112427	-63.353447
12.785339	-58.273613
13.458252	-56.153954
14.131165	-61.998737
14.804077	-62.888474
15.476990	-56.790939
16.149902	-60.951939
16.822815	-65.411163
17.495728	-59.372700
18.168640	-63.611446
18.841553	-70.978439
19.514465	-62.654358
20.187378	-62.179199
20.860291	-71.837563
21.533203	-70.592659
22.206116	-66.053886
22.879028	-69.882233
23.551941	-69.863449
24.224854	-67.494713
24.897766	-71.171417
25.570679	-71.705330
26.243591	-71.998032
26.916504	-75.270821
27.589417	-71.954811
28.262329	-72.034393
28.935242	-69.199471
29.608154	-69.708847
30.281067	-71.609879
30.953979	-69.917473
31.626892	-72.005875
32.299805	-72.214714
32.972717	-72.982109
33.645630	-75.366783
34.318542	-74.190613
34.991455	-75.954948
35.664368	-71.178123
36.337280	-74.251945
37.010193	-80.893852
37.683105	-75.523956
38.356018	-72.287125
39.028931	-72.352524
39.701843	-72.859222
40.374756	-72.271866
41.047668	-69.695152
41.720581	-74.977036
42.393494	-72.229004
43.066406	-71.563522
43.739319	-72.605095
44.412231	-74.245872
45.085144	-75.694649
45.758057	-63.777149
46.430969	-63.350712
47.103882	-75.563538
47.776794	-80.696518
48.449707	-80.226028
49.122620	-77.061455
49.795532	-65.247673
50.468445	-69.314415
51.141357	-75.003929
51.814270	-77.123047
52.487183	-79.741798
53.160095	-78.775818
53.833008	-79.719734
54.505920	-78.060219
55.178833	-80.707512
55.851746	-79.730553
56.524658	-79.439812
57.197571	-78.980736
57.870483	-79.065865
58.543396	-78.165871
59.216309	-78.550682
59.889221	-75.512405
60.562134	-75.372765
61.235046	-70.103439
61.907959	-75.087646
62.580872	-81.415123
63.253784	-81.974503
63.926697	-82.186081
64.599609	-82.277672
65.272522	-82.217049
65.945435	-79.640114
66.618347	-80.337769
67.291260	-82.702782
67.964172	-78.519615
68.637085	-80.059158
69.309998	-81.908737
69.982910	-85.058975
70.655823	-81.742989
71.328735	-79.419052
72.001648	-80.863670
72.674561	-81.910789
73.347473	-80.902840
74.020386	-80.316933
74.693298	-80.170876
75.366211	-74.766716
76.039124	-76.324272
76.712036	-80.121826
77.384949	-80.865196
78.057861	-83.874237
78.730774	-76.124619
79.403687	-74.949158
80.076599	-76.279671
80.749512	-78.140015
81.422424	-80.674774
82.095337	-76.776260
82.768250	-72.908623
83.441162	-73.361809
84.114075	-78.882347
84.786987	-86.367111
85.459900	-83.079170
86.132813	-84.145309
86.805725	-87.455444
87.478638	-84.447487
88.151550	-82.581306
88.824463	-82.592743
89.497375	-87.470764
90.170288	-84.676407
90.843201	-81.200905
91.516113	-78.947685
92.189026	-70.759003
92.861938	-78.066360
93.534851	-81.856400
94.207764	-82.804527
94.880676	-83.900307
95.553589	-84.146851
96.226501	-83.239410
96.899414	-86.010902
97.572327	-81.381592
98.245239	-82.700462
98.918152	-76.761284
99.591064	-76.225609
100.263977	-82.146561
100.936890	-84.611053
101.609802	-86.661766
102.282715	-85.933945
102.955627	-85.217285
103.628540	-84.642647
104.301453	-85.605560
104.974365	-84.192627
105.647278	-83.274803
106.320190	-83.129791
106.993103	-85.551735
107.666016	-85.324020
108.338928	-83.037117
109.011841	-84.079277
109.684753	-86.732758
110.357666	-86.177170
111.030579	-85.857979
111.703491	-87.730156
112.376404	-85.912582
113.049316	-87.072037
113.722229	-87.251068
114.395142	-87.631874
115.068054	-83.699295
115.740967	-82.731461
116.413879	-85.258270
117.086792	-86.373787
117.759705	-90.349129
118.432617	-90.672607
119.105530	-87.546341
119.778442	-93.432625
120.451355	-91.507004
121.124268	-86.470726
121.797180	-85.812775
122.470093	-85.864456
123.143005	-86.513992
123.815918	-87.913055
124.488831	-86.117020
125.161743	-83.968056
125.834656	-87.484619
126.507568	-82.592979
127.180481	-86.298325
127.853394	-86.515457
128.526306	-83.526230
129.199219	-86.538818
129.872131	-85.780678
130.545044	-86.355072
131.217957	-87.237732
131.890869	-87.732239
132.563782	-87.277664
133.236694	-88.051254
133.909607	-86.543633
134.582520	-84.415207
135.255432	-84.328430
135.928345	-89.837753
136.601257	-88.571045
137.274170	-88.015907
137.947083	-85.618797
138.619995	-87.897438
139.292908	-92.101013
139.965820	-89.007179
140.638733	-86.296692
141.311646	-85.678932
141.984558	-83.759560
142.657471	-91.471764
143.330383	-87.576912
144.003296	-87.038116
144.676208	-86.225716
145.349121	-86.135796
146.022034	-87.569221
146.694946	-88.806625
147.367859	-90.168312
148.040771	-87.454041
148.713684	-82.329445
149.386597	-80.866249
150.059509	-75.004829
150.732422	-86.469978
151.405334	-88.189926
152.078247	-90.663589
152.751160	-88.206848
153.424072	-89.224045
154.096985	-86.156937
154.769897	-88.717323
155.442810	-87.819016
156.115723	-89.058609
156.788635	-89.109550
157.461548	-91.393547
158.134460	-89.798882
158.807373	-86.712791
159.480286	-85.948799
160.153198	-89.712158
160.826111	-90.773499
161.499023	-89.301575
162.171936	-90.046776
162.844849	-88.677498
163.517761	-92.081604
164.190674	-88.803543
164.863586	-87.605911
165.536499	-91.228622
166.209412	-88.606522
166.882324	-86.047859
167.555237	-88.997437
168.228149	-89.732384
168.901062	-89.751511
169.573975	-90.131393
170.246887	-89.168343
170.919800	-89.774803
171.592712	-89.019676
172.265625	-88.166756
172.938538	-89.207718
173.611450	-88.354767
174.284363	-89.678040
174.957275	-93.643707
175.630188	-87.642021
176.303101	-91.535645
176.976013	-88.357079
177.648926	-89.516571
178.321838	-88.851494
178.994751	-87.419258
179.667664	-91.853142
180.340576	-92.881798
181.013489	-86.289917
181.686401	-83.594460
182.359314	-91.881683
183.032227	-89.895691
183.705139	-90.261246
184.378052	-90.566017
185.050964	-87.125732
185.723877	-86.980934
186.396790	-87.314514
187.069702	-91.434822
187.742615	-86.780647
188.415527	-87.092155
189.088440	-91.673988
189.761353	-93.556862
190.434265	-90.685944
191.107178	-86.598358
191.780090	-88.251816
192.453003	-89.342453
193.125916	-88.822227
193.798828	-88.768013
194.471741	-86.638977
195.144653	-85.478531
195.817566	-91.630547
196.490479	-89.267143
197.163391	-89.376610
197.836304	-92.525719
198.509216	-91.383041
199.182129	-92.030502
199.855042	-90.546997
200.527954	-90.965843
201.200867	-87.557358
201.873779	-87.576477
202.546692	-92.161926
203.219604	-95.270874
203.892517	-85.792274
204.565430	-87.382721
205.238342	-88.821327
205.911255	-89.530800
206.584167	-91.990211
207.257080	-92.725418
207.929993	-87.086990
208.602905	-88.624222
209.275818	-90.613152
209.948730	-89.224792
210.621643	-90.802193
211.294556	-88.928879
211.967468	-92.622841
212.640381	-90.144424
213.313293	-89.908607
213.986206	-88.455162
214.659119	-87.243393
215.332031	-90.817329
216.004944	-87.863228
216.677856	-86.786987
217.350769	-87.858627
218.023682	-88.923332
218.696594	-88.265533
219.369507	-88.737938
220.042419	-91.074303
220.715332	-88.407455
221.388245	-88.508171
222.061157	-89.531242
222.734070	-90.750580
223.406982	-90.929810
224.079895	-89.765717
224.752808	-91.151573
225.425720	-87.792915
226.098633	-87.518715
226.771545	-88.868057
227.444458	-89.367332
228.117371	-91.399628
228.790283	-88.064392
229.463196	-87.301109
230.136108	-89.108063
230.809021	-87.200836
231.481934	-91.384560
232.154846	-87.103004
232.827759	-92.166351
233.500671	-89.951721
234.173584	-89.270058
234.846497	-89.522636
235.519409	-86.919571
236.192322	-86.307304
236.865234	-87.164665
237.538147	-89.917671
238.211060	-88.244080
238.883972	-85.719124
239.556885	-88.224518
240.229797	-89.963585
240.902710	-89.828125
241.575623	-86.946281
242.248535	-90.335258
242.921448	-86.182846
243.594360	-87.850822
244.267273	-86.229652
244.940186	-90.587158
245.613098	-85.918129
246.286011	-83.788231
246.958923	-89.036812
247.631836	-90.033371
248.304749	-84.214104
248.977661	-88.424309
249.650574	-82.390259
250.323486	-84.619705
250.996399	-84.546051
251.669312	-84.831573
252.342224	-85.000549
253.015137	-84.916504
253.688049	-85.189140
254.360962	-83.247337
255.033875	-84.524940
255.706787	-82.292923
256.379700	-85.246117
257.052612	-83.195496
257.725525	-80.733459
258.398438	-80.536911
259.071350	-81.728249
259.744263	-84.525391
260.417175	-77.779755
261.090088	-83.296280
261.763000	-79.239990
262.435913	-81.704750
263.108826	-83.224716
263.781738	-82.934807
264.454651	-80.707901
265.127563	-82.085167
265.800476	-80.348557
266.473389	-81.249786
